Time (PDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,66.0 °F,57.9 °F,75%,29.80 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Overcast
1:53 AM,66.0 °F,57.0 °F,73%,29.81 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
2:53 AM,66.0 °F,57.9 °F,75%,29.81 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
3:53 AM,66.0 °F,57.0 °F,73%,29.83 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
4:53 AM,66.0 °F,57.0 °F,73%,29.84 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Overcast
5:48 AM,64.4 °F,55.4 °F,73%,29.86 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,64.9 °F,55.9 °F,73%,29.86 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,64.0 °F,55.9 °F,75%,29.87 in,8.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,66.0 °F,57.0 °F,73%,29.88 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Clear
8:53 AM,68.0 °F,57.0 °F,68%,29.91 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Clear
9:53 AM,71.1 °F,55.9 °F,59%,29.91 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
10:53 AM,75.9 °F,54.0 °F,46%,29.91 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Clear
11:53 AM,81.0 °F,48.0 °F,31%,29.90 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
12:53 PM,79.0 °F,57.0 °F,47%,29.89 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Clear
1:53 PM,77.0 °F,60.1 °F,56%,29.87 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,75.2 °F,60.8 °F,61%,29.86 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,73.4 °F,59.0 °F,61%,29.86 in,10.0 mi,WSW,11.5 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,73.4 °F,57.2 °F,57%,29.86 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,71.6 °F,59.0 °F,64%,29.86 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,69.8 °F,60.8 °F,73%,29.88 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,68.0 °F,63.0 °F,84%,29.90 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Clear
8:53 PM,68.0 °F,63.0 °F,84%,29.91 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
9:53 PM,71.1 °F,61.0 °F,70%,29.92 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
10:53 PM,68.0 °F,57.2 °F,68%,29.93 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,66.2 °F,59.0 °F,78%,29.93 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
